,stars,name,feedback,avg_sent,gender,num_words,emoji
0,5,Павел,материал плотный хороший стильно смотреться покупка довольный,2.6666666666666665,M,8,0
1,5,Тарабрин Николай,крутой майк материал плотный качетсвенный,2.5,M,5,0
2,5,Горбатов Николай,гуд,1.0,M,1,0
3,5,Горбатов Николай,гуд,1.0,M,1,0
4,5,Олег,плотный хлопок сидеть размер,5.0,M,5,0
5,4,Виктор,средний качество приталенный,2.5,M,5,0
6,5,Зверев Сергей,отличный,2.0,M,2,0
7,5,Жуков Юрий,,1.0,M,1,5
8,5,Жуков Юрий,классный,2.0,M,2,0
9,5,Евгений,хороший плотный отличный выбор свой цена возможно немного длинноватый,3.6666666666666665,M,11,0
10,5,ильяс,,1.0,M,1,1
11,3,Сергей,плотный день ворсинка,6.0,M,6,0
12,5,Александр,levi,4.0,M,4,1
13,5,Кирилл,приятный материал достаточно плотный идти размер размер,3.0,M,9,0
14,5,Максим,прекрасный качество плотный хлопок,4.0,M,4,0
15,5,Максим,хороший качественный идти размер размер,4.0,M,8,0
16,5,Жанболат,,1.0,M,1,1
17,5,Егор,качество уровень,3.0,M,3,0
18,5,Чернышов Сергей,отличный размер соответствовать качество высота,7.0,M,7,0
19,5,Авсейков Сергей,классный майк неплохо сидеть горловина сделать крепко растягиваться достаточно плотный материал далеко топовый качество хлопок скидка брать точно,8.666666666666666,M,26,0
20,5,Алексей,норма,1.0,M,1,0
21,5,Александр,соответствовать описание,2.0,M,2,0
22,5,Стрельцов Владислав,супер,1.0,M,1,0
23,5,Любовь,приятный тело,3.0,M,3,0
24,5,Арай,хороший,2.0,M,2,0
25,5,Роман,отлично,1.0,M,1,0
26,5,Михаил,наверно свой деньга стоить понравиться,8.0,M,8,0
27,5,Иван,свободный приятный,3.0,M,3,1
28,5,гузель,,1.0,M,1,1
29,1,максим,оказаться браковать большой дырка заметить курьер уйти,5.5,M,11,0
30,5,гузель,хороший лишний,4.0,M,4,1
