,stars,name,feedback,avg_sent,gender,num_words,emoji
0,5,Стас,Взял,1.0,M,1,0
1,4,Рахман,Неплохая футболка  еще не успел долго проносить,7.0,M,7,0
2,5,Андрю,Норм,1.0,M,1,0
3,5,Сергей,👍🏼,1.0,M,1,1
4,5,Алексей,Нормальная футболка  По дому ходить пойдёт  для этого и брал ,5.0,M,10,0
5,5,Иван,Отличная футболка  за такую сумму  Но можно и скинуть до 500 ₽,5.5,M,12,0
6,5,Денис,👍🏻,1.0,M,1,1
7,5,Тульский Тимур,Футболка очень классная,3.0,M,3,0
8,5,Михаил,Лучшая базовая футболка  Мягкая  хлопковая  простая и не дорогая ,4.5,M,9,0
9,5,Петров Александр,Отличная футболка,2.0,M,2,0
10,5,Тимофей,Подчеркивает форму  хорошее качество,4.0,M,4,0
11,4,Покупатель,Хорошая футболка,2.0,M,2,0
12,5,Карпец Артём,Брал на размер поменьше  так как фасон обтягивающий и брал под одежду  село как и ожидал хорошо ,17.0,M,17,0
13,5,Баринов Иван,Прям хорошо  Короткая  чуть ниже пояса джинс с средней посадкой  Очень интересная ткань  Качество на высоте,4.0,M,16,0
14,5,веренич олег,Приятная на тело,3.0,M,3,0
15,5,Поляков Виталий,Хорошие футболки,2.0,M,2,0
16,5,Сергей,Супер,1.0,M,1,0
17,5,Артём,Приятная на ощупь,3.0,M,3,0
18,5,сергей,Футболочка супер 👍 мягкая и в размер  советую всем,7.0,M,9,1
19,5,Николай,Хорошее качество,2.0,M,2,0
20,5,Николай,Хорошее качество,2.0,M,2,0
21,5,Николай,Хорошее качество,2.0,M,2,0
22,5,Дземко Андрей,Отличные футболки,2.0,M,2,0
23,5,Мункуев Валерий,Футболка соответствует описанию  качество хорошее материал приятный телу  Смотрится классно,4.5,M,10,0
24,5,Мильков Алексей,Отличная футболка,2.0,M,2,0
25,4,артур,Хорошая но не подошла,4.0,M,4,0
26,5,Александр,👍,1.0,M,1,1
27,5,Стаценко Виктор,Все супер,2.0,M,2,0
28,5,Чекалов Роман,Как всегда Under Armour рулит качество отличное всё подошло идеально спасибо LaModa расширяйте ассортимент этого бренда он не разу не подвёл всем рекомендую ,23.0,M,23,0
29,5,Трофимов Игорь,Как всегда на уровне  Спасибо большое  советую всем ,4.0,M,8,0
30,5,Игорь,👍🏻🔥👌🏻,1.0,M,1,3
31,5,Александр,Бомба 💥,2.0,M,2,1
32,5,Данил,👍👍👍👍💣💣💣💣,1.0,M,1,8
33,1,Сергей,За эти деньги не советую  Катешки будут через неделю носки  крой не очень  На модели смотрится гораздо симпатичнее  по итогу оказалась слишком длинной  рукава как парашюты широкие  отказ ,9.333333333333334,M,28,0
34,5,Данил,👍👍👍💣💣💣,1.0,M,1,6
35,2,Самошкин Александр,Брал такую пару лет назад  катышки образуются очень быстро  Я тогда в шоке был  Теперь только дома хожу иногда 😉,6.333333333333333,M,20,1
36,4,Виталий,Нормальная футболка  прорезь под шею огромная из  за этого 4 звезды ,10.0,M,11,0
37,5,Белов Евгений,Огонь,1.0,M,1,0
38,5,Владислав,👍,1.0,M,1,1
39,5,Александр,Качество хорошее  но у аналогов воротник более плотный ,8.0,M,8,0
40,5,Руслан,Обычная базовая футболка на каждый день  Цена соответствует качеству ,4.5,M,9,0
41,5,Артём,Размер в размер  приятный материал 👌🏻,6.0,M,6,1
42,5,Олег,ношу с удовольствием,3.0,M,3,0
43,5,Ислам,👍🏽,1.0,M,1,1
44,5,Егор,Хорошее качество,2.0,M,2,0
45,5,Марат,👍,1.0,M,1,1
46,5,Тимур,Классная футболка,2.0,M,2,0
47,5,шамиль,Хороший материал,2.0,M,2,0
48,4,Александр,Хорошая футболка за свои деньги,5.0,M,5,0
49,5,Сабир,Качество хорошее  доволен покупкой ,4.0,M,4,0
50,5,Сергей,Все супер ,1.0,M,2,0
51,5,Эльдар,👍🏻,1.0,M,1,1
52,5,Сергей,Соотношение цены и качество оптимальный вариант ,6.0,M,6,0
53,5,Фёдорович Виктор,Отличная,1.0,M,1,0
54,5,Еропов вячеслав,Норм футболка,2.0,M,2,0
55,5,Захарченко Дмитрий,👍👍👍,1.0,M,1,3
56,5,Аслан,Хорошие футболки за эту цену,5.0,M,5,0
57,5,Эсет,Футболка хорошего качества ,3.0,M,3,0
58,5,Евгений,Неплохой товар за свои деньги ,5.0,M,5,0
59,5,Жадов Олег,Футболка отличная ,2.0,M,2,0
60,5,Аносов Павел,Ткань на ощупь приятная  Качество хорошее,3.0,M,6,0
61,5,денис,Хороший материал  не теряет форму  качественный принт,7.0,M,7,0
62,5,Василий,Норм,1.0,M,1,0
63,5,Абакар,Идеальна,1.0,M,1,0
64,5,Москалец Евгений,Классная футболка ,2.0,M,2,0
65,5,Кадыров Ильяс,Отличная футболка  качественный принт,4.0,M,4,0
66,5,Тарасов Игорь,Качество в порядке  принт держится  Размер соответствует  После первой носки ещё пожрастянулась  имейте ввиду ,4.333333333333333,M,14,0
67,5,Тарасов Игорь,Качество в порядке  принт держится  Размер соответствует  После первой носки ещё пожрастянулась  имейте ввиду ,4.333333333333333,M,14,0
68,5,Эдуард,Качество топ,2.0,M,2,0
69,5,Давид,Замечательная футболка,2.0,M,2,0
70,5,Эльдар,Прикольная футболка  размер соответствует,4.0,M,4,0
71,5,Евгений,Классная футболка  Плотная качественная ткань  всё прошито хорошо и не лезет  По размеру подошла идеально  Отдельная тема это принт  он очень прикольный и качественный ,6.0,M,24,0
72,5,Антон,Качество на высоте ,3.0,M,3,0
73,5,Максим,После стирки не линяет не садится  принт держится плотно  Понравился дизайн  взял и не прогадал  Подойдёт как для событий так и на каждый день,8.0,M,24,0
74,5,Василий,Футболка понравилась  Оригинальный принт  хорошо сидит  Летний вариант как основная одежда  Мягкая,3.0,M,12,0
75,5,Роман,Отличная футболка  мягкая  посадка удобная,5.0,M,5,0
76,5,Гуров Даниил,Всё устроило и футболка очень понравилась ,6.0,M,6,0
77,5,Александр,Качественная  тонкая футболка на лето ,5.0,M,5,0
78,5,Гоголев Андрей,Качество ткани и исполнения как всегда у GAP на 5 баллов  Принтер сделан так же отлично  Размер соответствует  Заказывал одновременно поло Bekers и Springfild такокого же размера  там несоответствие в размер где  то в меньшую сторону в размер или два  Неоднократно покупал футболки или поло GAP  всегда соответствует указанному размеру  Рекомендую к покупке ,8.666666666666666,M,53,0
79,4,Иван,Качество не осень,3.0,M,3,0
80,3,Куприянов Павел,Маломерит на размер,3.0,M,3,0
81,5,Арсен,Хорошее качество ,2.0,M,2,0
82,5,Егор,Отлично 👍,2.0,M,2,1
83,5,Евгений,👍🏻,1.0,M,1,1
84,5,Михаил,Как всегда GAP на высоте  хорошая футболка на каждый день ,10.0,M,10,0
85,5,Иван,Качество на высоте  плотная ткань  вышитый логотип  размер соответствует,9.0,M,9,0
86,5,андрей,Качество посадка супер,3.0,M,3,0
87,4,Семен,Забавная футболка  только большемерит немного,4.0,M,5,0
88,3,Филат,Цена разная ,2.0,M,2,0
89,5,Александр,На лето  идеально ,3.0,M,3,0
90,5,Рамиль,Немного мешковата  но так даже лучше ,6.0,M,6,0
91,5,Алексей,Хорошо сидит  качество вроде нормальное  посмотрим что будет с ней через стирку  единственное как долго продержится принт ,8.5,M,17,0
92,5,павел,Хороший хлопок  ровные швы,4.0,M,4,0
93,5,Виктор,Маломерит очень сильно в плечах берите на размер больше  в остальном хороший цвет,13.0,M,13,0
94,5,Дмитрий,Качественная футболка  приятная к телу  не мнется  Размер соответствует таблице  но как и другие футболки этой фирмы она длиная  но все в пределах нужной длины ,12.5,M,25,0
95,5,Виктор,Размер в размер Качество очень достойное,6.0,M,6,0
96,5,карюхин иван,Качество отличное  Даже после стирок двадцати выглядит как новая ,4.5,M,9,0
97,5,Сергей,Футболка хорошая  качественная  материал тянется но сшита так  что туловище не обжимает  довольно свободная ,14.0,M,14,0
98,5,Руслан,Хорошо смотрится ,2.0,M,2,0
99,5,Сергей,Приятный материал  достойно смотрится  Размер в размер ,3.5,M,7,0
100,5,Андрей,Отличная футболка  размеру соответствует,4.0,M,4,0
101,5,Четвериков Александр,Качество хорошее  материал очень мягкий  приятный  После первой стирки чуть  чуть увеличилась в размерах,6.5,M,14,0
102,5,Иванов Валерий,Отличное соотношение цены и качества,5.0,M,5,0
103,5,Иванов Валерий,Отличное соотношение цены и качества,5.0,M,5,0
104,5,Сергей,Майка хорошая  но не особо плотная,6.0,M,6,0
105,5,Тимур,Круто,1.0,M,1,0
106,4,Владислав,Приятная телу  но очень тонкая ткань  На 183 см 78 кг взял M  села хорошо ,7.5,M,15,0
107,5,Ринат,На крупное тело самое то,5.0,M,5,0
108,5,Евгений,Отличное качество  большемерит  придётся заказывать на размер меньше ,8.0,M,8,0
109,5,Зимин Владимир,Супер  Качество хорошее,1.5,M,3,0
110,5,Владимир,Отличная вещь  Размер подошёл ,2.0,M,4,0
111,5,Сергей,Качество на высоте ,3.0,M,3,0
112,5,Михаил,Очень качественно,2.0,M,2,0
113,3,Христенко Андрей,Большемерит размера на два  зачем указывать размер 3xl 56  58  если это все 62  64  качество отличное  футболка плотная,15.0,M,19,0
114,3,Алексей,Большемерит примерно на размер  по качеству вопросов нет  все прошито  нитки не торчат  для примера положил свою обычную футболку размера М поверх этой,23.0,M,23,0
115,5,андрей,Суперское качество,2.0,M,2,0
116,5,Андрей,👍,1.0,M,1,1
117,5,Андрей,👍,1.0,M,1,1
118,5,Андрей,За эти деньги 🔥,4.0,M,4,1
119,5,Андрей,Круто,1.0,M,1,0
120,5,Андрей,Супер,1.0,M,1,0
121,5,Андрей,Отлично,1.0,M,1,0
122,5,Андрей,За эти деньги вполне достойно,5.0,M,5,0
123,5,меньков артур,Немного маломерят  Матерьял 5,2.0,M,4,0
124,5,меньков артур,Немного маломерят  Матерьял 5,2.0,M,4,0
125,5,александр,Идеально села футболка  одеваю под пиджак ,6.0,M,6,0
126,5,Ботнарь  Валерий,футболки 👍👍,2.0,M,2,2
127,5,Ботнарь  Валерий,футболки 👍👍,2.0,M,2,2
128,5,Кирилл,Крутые футболки  всем советую  качество boss ,3.0,M,6,0
129,5,Кирилл,В целом футболки понравились ,4.0,M,4,0
130,5,Андрей,Отличная ткань  Аккуратные швы  Размер в размер  Стильно  Красиво и соответствует бренду ,2.4,M,12,0
131,5,Евгений,Отличное качество  доволен покупкой,4.0,M,4,0
132,5,Эдик,Хорошая базовая футболка,3.0,M,3,0
133,4,Александр Толмачев,Хорошее качество,2.0,M,2,0
134,4,Артем,Слегка просвечивается,2.0,M,2,0
135,5,Денис,Футболки супер,2.0,M,2,0
136,5,Олег,Хорошие  качественные футболки за эти деньги  Редкость в наше время ,5.0,M,10,0
137,5,Макс,Неплохие футболки,2.0,M,2,0
138,5,Руслан,Хорошее качество,2.0,M,2,0
139,5,Аркадий,Удобно  качество на 5 ,4.0,M,4,0
140,5,Роман,Отличное качество  хорошо сидит  Плотная ткань ,3.0,M,6,0
141,5,Андрей,👍🏻,1.0,M,1,1
142,5,Владимир,Отличные футболки,2.0,M,2,0
143,5,Михайлов Михаил,Качество 🔥🔥🔥,2.0,M,2,3
144,5,алексей,После стирки ещё лучше  качество 👍,6.0,M,6,1
145,5,Южиков Александр,Базовые футболки очень хорошего качества ,5.0,M,5,0
146,5,Павел,Супер,1.0,M,1,0
147,5,Антон,Супер качество,2.0,M,2,0
148,3,Александр,Не очень плотная,3.0,M,3,0
149,5,Эрик,Супер,1.0,M,1,0
150,5,Дмитрий,Отличное качество  Рекомендую ,1.5,M,3,0
151,5,Дмитрий,Отличное качество ,2.0,M,2,0
152,5,андрей,Необычный материал  цвет насыщенный,3.0,M,4,0
153,5,Тютчев Иван,Все чётко  Приятная на теле  цвет как на фото,4.5,M,9,0
154,5,Игорь,Футболка из приятной ткани  сидит хорошо ,6.0,M,6,0
155,5,Александр,Хорошее качество,2.0,M,2,0
156,5,Морозов Артем,Хорошая майка  широкая  Цвет насыщенный  Приятна на теле  Не длинная ,2.5,M,10,0
157,5,Денис,На много ярче  качество супер  размер на рост 79 подошел идеально ,11.0,M,11,0
158,5,Оньков Артем,Цвет красивый  качество трикотажа отличное  но очень большемерит ,7.0,M,8,0
159,5,Цветков Роман,Размер соответствует  ткань стрейч приятная  цвет яркий  рекомендуется Аля 90  е,10.0,M,11,0
160,5,алексей,Пойдёт,1.0,M,1,0
161,5,Максим,Яркая  лёгкая  На лето подойдёт обычно  хотя и сейчас в офисе радует глаза людям  Сидит хорошо,5.333333333333333,M,16,0
162,5,Игорь,Необычная расцветка  люблю оригинальные вещи  Вполне свободная  удобная ,4.0,M,8,0
163,5,Марат,Футболка свободная  цвет яркий как на фото  мне понравилась,9.0,M,9,0
164,5,Николаев Алексей,Хорошие шорты,2.0,M,2,0
165,5,андрей,Хорошее качество,2.0,M,2,0
166,5,Сергей,Отличная футболка,2.0,M,2,0
167,3,Асель,Футболка тонкая  прозрачная,3.0,M,3,0
168,3,Асель,Хороший крой  но чересчур прозрачная ткань  Отказ,3.5,M,7,0
169,5,Андрей,Все хорошо  Немного просвечивает,2.0,M,4,0
170,5,Александр,Хорошо 👌 всё,3.0,M,3,1
171,5,Дмитрий,Отличная футболка  очень приятна к телу  Размер в размер,4.5,M,9,0
172,5,Баян,Качество хорошее  Хорошая базовая футболка ,2.5,M,5,0
173,5,Дмитрий,Отлично,1.0,M,1,0
174,5,Константин,👍🏼,1.0,M,1,1
175,2,Тимур,Материал легкий  хороший но просвечивает  Подойдёт думаю только для дома ,5.0,M,10,0
176,4,Каримов Алтынбек,Футболка по качеству неплохая  сидит отлично  но просвечивает немного и желтит,11.0,M,11,0
177,3,Сергей,Цвет желтоватый  а качество хорошее ,5.0,M,5,0
178,5,Мольдер,Качество хорошее  но оказалось  что просвечивает,6.0,M,6,0
179,5,Максим,Цена соответствует качеству,3.0,M,3,0
180,5,Мурсалов Мухамед,5,1.0,M,1,0
181,5,Лещинский Евгений,Отличная футболка ,2.0,M,2,0
182,5,Адиль,Отличная базовая футболка,3.0,M,3,0
183,5,Артем,Хорошего качества футболка,3.0,M,3,0
184,5,Богдан,Хорошее качество  размер соответствует,4.0,M,4,0
185,5,Расул,Отличная футболка на каждый день,5.0,M,5,0
186,5,Татул,Все норм,2.0,M,2,0
187,4,Денис,Норм,1.0,M,1,0
188,5,сергей,Базовая вещь,2.0,M,2,0
189,5,Ацамаз,Супер футболка,2.0,M,2,0
190,4,Олег,Замечательная футболка  но hugo boss из 3  х базовых показались получше,10.0,M,11,0
191,5,Элбик,Размер подошёл  самое то для стандартного гардероба,7.0,M,7,0
192,4,Дмитрий,Простая базовая футболка  брал L  но по размеру это скорее М,11.0,M,11,0
193,5,Кирилл,Нооорм,1.0,M,1,0
